氏名コード, 成績年月, 契約番号  , 保険種類, 商品コード, プランコード, 申込日    , 成約日    , 保険期間_年, 保険料_月額, 保険料_年額, 初回保険料, 解約返戻金見込, 保険金額, 特約数, 付加保険料, 手数料率, 継続年数, 保全件数, 失効件数, 更改回数, 家族割引率, 契約者年齢, 被保険者年齢, 支社コード, 営業所コード, チャネル区分, 支払方法, 都道府県, 性別, 募集人資格区分, 申込受付ルート, 申込書チェック不備数, 収納遅延月数, キャンペーンコード, 医的診査要否フラグ, 喫煙者フラグ, 告知緩和フラグ, 団体扱いフラグ, 新規契約フラグ, 更改フラグ, 解約フラグ, 失効フラグ, 復活フラグ, 口座振替フラグ, クレカ払フラグ, 一時払フラグ, 年払フラグ, 半年払フラグ, 月払フラグ

A001      ,   202509, K2025-0001, 終身    , S01       , P-A         , 2025-09-05, 2025-09-20,          60,       12000,      138000,      12000,         500000, 10000000,      2,        600,     0.12,        5,        3,        0,        1,       0.05,         45,           43,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
A001      ,   202509, K2025-0002, 医療    , M11       , P-B         , 2025-09-12, 2025-09-28,          10,        4500,       54000,       4500,          20000,  3000000,      1,        150,     0.1 ,        2,        0,        0,        0,       0.0 ,         38,           36,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    1,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
B017      ,   202508, K2025-0003, 定期    , T05       , P-C         , 2025-08-03, 2025-08-25,          20,        8000,       96000,       8000,              0,  8000000,      0,          0,     0.15,        8,        1,        0,        2,       0.0 ,         51,           49,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            2, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
C203      ,   202510, K2025-0004, がん    , C21       , P-D         , 2025-10-02, 2025-10-10,          15,        6200,       74400,       6200,              0,  5000000,      1,        200,     0.11,        1,        0,        0,        0,       0.02,         29,           29,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
A002      ,   202507, K2025-0006, 終身    , S01       , P-A         , 2025-07-03, 2025-07-20,          60,       11500,      138000,      11500,         480000, 10000000,      2,        580,     0.12,        4,        1,        0,        0,       0.05,         46,           44,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
A003      ,   202507, K2025-0007, 医療    , M11       , P-B         , 2025-07-10, 2025-07-25,          10,        4300,       51600,       4300,          18000,  3000000,      1,        140,     0.10,        2,        0,        0,        0,       0.0 ,         37,           35,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
B018      ,   202508, K2025-0008, 定期    , T05       , P-C         , 2025-08-05, 2025-08-22,          20,        8200,       98400,       8200,              0,  8200000,      0,          0,     0.15,        7,        1,        0,        1,       0.0 ,         52,           50,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            1, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
C204      ,   202508, K2025-0009, がん    , C21       , P-D         , 2025-08-12, 2025-08-28,          15,        6000,       72000,       6000,              0,  4800000,      1,        190,     0.11,        1,        0,        0,        0,       0.02,         30,           30,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
B019      ,   202509, K2025-0010, 養老    , Y33       , P-E         , 2025-09-07, 2025-09-20,          25,       14800,      177600,      14800,         290000,  7000000,      3,       1180,     0.09,        9,        2,        0,        2,       0.03,         41,           41,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    1,            0, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
